title,artist,genre,released_year,song_key,bpm,camelot,Instrumental_type
Happy Now,Kygo,Dance/EDM,2018,A Major,118,11B,Yes
Where Are You Now,Lost Frequencies,Dance/EDM,2021,F-Sharp Minor,121,11A,Yes
Some Say <Felix Jaehn Remix>,Nea,Dance/EDM,2020,F-Sharp Major,120,2B,Yes
Switch That,Retrovision,Dance/EDM,2020,A Major,128,11B,Yes
Our Youth,Sunny Alven,Dance/EDM,2015,F-Sharp Minor,120,11A,Yes
Shadows Of Love,Sam Feldt,Dance/EDM,2016,F Major,120,7B,Yes
Chasing Stars,Alesso,Dance/EDM,2021,B-Flat Major,93,6B,Yes
Anywhere With You,Afrojack,Dance/EDM,2021,F-Sharp Major,126,2B,Yes
Like No Other,Jay Hardway,Dance/EDM,2021,E-Minor,126,9A,Yes
I’m Coming Home,Marc Robillard,Dance/EDM,2016,D-Flat Major,125,3B,Yes
Gyal You A Party Animal,Charly Black,Reggae,2016,C Major,134,8B,Yes
It Ain’t Me <Tommy Jayden Remix>,Kygo,Dance/EDM,2017,C Major,128,8B,Yes
Pretty Girl <Cheat Codes Remix>,Maggie Lindemann,Dance/EDM,2017,G Minor,121,6A,Yes
Catchu Catchu,Lartiste,Hip Hop/Pop,2017,A-Flat Major,116,4B,Yes
Rich Love,One Republic,Dance/Pop,2017,D-Flat Minor,105,12A,Yes
Mesibah Behayfa,The Ultras,Hebrew Pop,2016,D-Flat Major,95,3B,Yes
Freaky Friday,Lil Dicky,Hip-Hop/Pop,2018,A-Flat Major,133,4B,Yes
One More Weekend,Audien,Dance/EDM,2017,D Major,110,10B,Yes
Rich Boy,Galantis,Dance/EDM,2017,D-Flat Major,110,3B,Yes
I Like Me Better <Cheat Codes Remix>,Lauv,Dance/EDM,2017,A Major,105,11B,Yes
Good Grief <Don Diablo Remix>,Bastille,Dance/EDM,2016,A-Flat Major,126,4B,Yes
Finest Hour,Cash Cash,Dance/EDM,2021,F Minor,96,4A,Yes
Mama Look At Me Now,Galantis,Dance/EDM,2018,B-Flat Major,126,6B,Yes
Back And Forth,Jonas Blue,Dance/EDM,2018,B-Flat Minor,122,3A,Yes
Found Me,The Him,Dance/EDM,2019,G Major,117,9B,Yes
Heavy <John Gibbons Remix>,Anne Marie,Dance/EDM,2017,C Major,120,8B,Yes
Heaven,Avicii,Dance/EDM,2019,A Major,122,11B,Yes
In Your Arms Tonite,Jonas Blue,Dance/EDM,2017,B Minor,125,10A,Yes
Found The Love,Moti,Dance/EDM,2019,A-Flat Major,126,4B,Yes
I’m Not Alright,Bryce Vine,Dance/EDM,2019,E Major,122,12B,Yes
Used To Love,Martin Garrix,Dance/EDM,2019,E Major,119,12B,Yes
Faith,Galantis,Dance/EDM,2020,A-Flat Major,118,4B,Yes
Right Through,Discos Over,Dance/EDM,2015,A-Flat Major,170,4B,Yes
We Got Love,Sigala,Dance/EDM,2019,A Minor,125,8A,Yes
Loco,Davai,Dance/EDM,2018,F-Sharp Major,106,2B,Yes
Little Do You Know,Campsite Dream,Dance/EDM,2017,C Major,95,8B,Yes
Could You Love Me,Kygo,Dance/EDM,2020,C Minor,100,5A,Yes
Next Escape,Viceroy,Dance/EDM,2016,D Major,123,10B,Yes
I Want It All,Lucas & Steve,Dance/EDM,2020,D-Flat Major,120,3B,Yes
Best Days,Sam Feldt,Dance/EDM,2020,B Major,108,1B,Yes
Summer Vibes,Razvan Mitroi,Dance/EDM,2021,E Major,105,12B,Yes
Beautiful Day,Lee Dewyze,Pop Rock,2010,C Major,135,8B,No
Iris,Goo Goo Dolls,Alternative Rock,1998,B Minor,156,10A,No
1-800-273-8255,Logic,Hip-Hop/Pop,2017,F Minor,100,4A,No
What Lovers Do,Maroon 5,Pop,2017,F Minor,110,4A,No
Without You,Avicii,Dance/EDM,2017,D Major,134,10B,No
The Middle,Zedd,Dance/Pop,2018,G Major,107,9B,No
Wild Love,Faul,Dance/EDM,2018,E-Flat Major,100,5B,No
